stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
audio-dsound I           dsound.cpp:275  _dsound_open                     [   0.00627] Starting DirectSound...
audio-dsound D           dsound.cpp:288  _dsound_open                     [   0.04473] DirectSoundCreate8 succeeded
audio-dsound I           dsound.cpp:77   get_window                       [   0.04488] Using desktop window: 0000000000010010
audio    I              audio.c:391  do_install_audio                 [   0.04526] Using DirectSound driver
audio-dsound D           dsound.cpp:322  _dsound_allocate_voice           [   0.04623] Allocating voice
audio-dsound D           dsound.cpp:381  _dsound_allocate_voice           [   0.04643] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.04691] added dtor for voice 000001CA0D1B1580, func 00007FF901FA116D
dtor     D               dtor.c:196  _al_register_destructor          [   0.04750] added dtor for mixer 000001CA0D1D6060, func 00007FF901FA1488
audio-dsound D           dsound.cpp:477  _dsound_start_voice              [   0.04801] Starting voice
audio-dsound D           dsound.cpp:505  _dsound_start_voice              [   0.04824] CreateSoundBuffer
audio-dsound D           dsound.cpp:513  _dsound_start_voice              [   0.05134] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:519  _dsound_start_voice              [   0.05155] Starting _dsound_update thread
audio-dsound I           dsound.cpp:529  _dsound_start_voice              [   0.05231] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.05248] added dtor for sample_instance 000001CA0D1DBCD0, func 00007FF901FA122B
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05273] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05290] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05299] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05309] added dtor for sample_instance 000001CA0D1EF6C0, func 00007FF901FA122B
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05322] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05333] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05347] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05366] added dtor for sample_instance 000001CA0D1EF810, func 00007FF901FA122B
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05379] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05389] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05398] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05406] added dtor for sample_instance 000001CA0D1F1ED0, func 00007FF901FA122B
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05415] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05423] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05431] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05440] added dtor for timer 000001CA0D189340, func 00007FF901731050
system   D            wsystem.c:836  maybe_parent_dir                 [   0.05495] Also searching C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.05538] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.05549] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.05970] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.09745] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.09974] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.09990] al_display=000001CA0D2450F0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.09999] al_display->vt=000001CA0D24A380
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.10780] found 288 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.10801] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10824] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.10834] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.10848] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.10863] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10877] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.10885] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10895] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.10936] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10953] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.10962] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.10973] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.10981] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11050] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.11117] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11147] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.11162] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11281] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.11336] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11353] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11412] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.11432] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.11441] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11485] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.11506] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11520] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.11529] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.11541] Score is : 717
